text,class
I charge it at night and skip taking the cord with me because of the good battery life.,1
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous.",0
Easy to start up and does not overheat as much as other laptops.,0
Great laptop that offers many great features!,0
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does.",1
"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ).",0
I love the way the entire suite of software works together.,1
The speed is incredible and I am more than satisfied.,0
I can barely use any usb devices because they will not stay connected properly.,1
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,1
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it 's a snap.,0
"I also got the added bonus of a 30 '' HD Monitor , which really helps to extend my screen and keep my eyes fresh!",1
The machine is slow to boot up and occasionally crashes completely.,0
"After paying several hundred dollars for this service , it is frustrating that you can not get help after hours.",0
I love the operating system and the preloaded software.,1
The best thing about this laptop is the price along with some of the newer features.,0
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,0
but now i have realized its a problem with this brand.,1
Also kinda loud when the fan was running.,0
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,0
"Speaking of the browser , it too has problems.",0
The keyboard is too slick.,0
"It 's like 9 punds , but if you can look past it , it 's GREAT!",0
It 's just as fast with one program open as it is with sixteen open.,0
"Still under warrenty so called Toshiba , no help at all.",0
Amazing Quality!,0
"A month or so ago , the freaking motherboard just died.",0
"The system it comes with does not work properly , so when trying to fix the problems with it it started not working at all.",0
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,0
"If a website ever freezes ( which is rare ) , its really easy to force quit.",0
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,1
"I wanted to purchase the extended warranty and they refused , because they knew it was trouble.",0
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,0
"The reality was , it heated up very quickly , and took way too long to do simple things , like opening my Documents folder.",0
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,1
